"POLY_ID","job","batch","prop","raster_year"
"mask_drc_central_big","job4","2021_03_26_batch_0",0.5,2029
"mask_drc_central_big","job4","2021_03_26_batch_0",0.75,2041
"mask_drc_central_big","job40","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job40","2021_03_26_batch_0",0.25,2029
"mask_drc_central_big","job40","2021_03_26_batch_0",0.5,2043
"mask_drc_central_big","job40","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job41","2021_03_26_batch_0",0,2013
"mask_drc_central_big","job41","2021_03_26_batch_0",0.25,2035
"mask_drc_central_big","job41","2021_03_26_batch_0",0.5,2044
"mask_drc_central_big","job41","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job42","2021_03_26_batch_0",0,2010
"mask_drc_central_big","job42","2021_03_26_batch_0",0.25,2021
"mask_drc_central_big","job42","2021_03_26_batch_0",0.5,2036
"mask_drc_central_big","job42","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job43","2021_03_26_batch_0",0,2016
"mask_drc_central_big","job43","2021_03_26_batch_0",0.25,2031
"mask_drc_central_big","job43","2021_03_26_batch_0",0.5,2041
"mask_drc_central_big","job43","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job44","2021_03_26_batch_0",0,2010
"mask_drc_central_big","job44","2021_03_26_batch_0",0.25,2034
"mask_drc_central_big","job44","2021_03_26_batch_0",0.5,2050
"mask_drc_central_big","job44","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job45","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job45","2021_03_26_batch_0",0.25,2035
"mask_drc_central_big","job45","2021_03_26_batch_0",0.5,2040
"mask_drc_central_big","job45","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job46","2021_03_26_batch_0",0,2014
"mask_drc_central_big","job46","2021_03_26_batch_0",0.25,2037
"mask_drc_central_big","job46","2021_03_26_batch_0",0.5,2041
"mask_drc_central_big","job46","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job47","2021_03_26_batch_0",0,2010
"mask_drc_central_big","job47","2021_03_26_batch_0",0.25,2021
"mask_drc_central_big","job47","2021_03_26_batch_0",0.5,2028
"mask_drc_central_big","job47","2021_03_26_batch_0",0.75,2040
"mask_drc_central_big","job48","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job48","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job48","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job48","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job49","2021_03_26_batch_0",0,2020
"mask_drc_central_big","job49","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job49","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job49","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job5","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job5","2021_03_26_batch_0",0.25,2047
"mask_drc_central_big","job5","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job5","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job50","2021_03_26_batch_0",0,2010
"mask_drc_central_big","job50","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job50","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job50","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job51","2021_03_26_batch_0",0,2014
"mask_drc_central_big","job51","2021_03_26_batch_0",0.25,2035
"mask_drc_central_big","job51","2021_03_26_batch_0",0.5,2041
"mask_drc_central_big","job51","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job52","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job52","2021_03_26_batch_0",0.25,2037
"mask_drc_central_big","job52","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job52","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job53","2021_03_26_batch_0",0,2008
"mask_drc_central_big","job53","2021_03_26_batch_0",0.25,2019
