"simKey","numFieldsInf","ngaBool","rank"
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9693-0",44936712.2481055,FALSE,90
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job364-0",44945646.8318,FALSE,91
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1746-0",44950302.1717529,FALSE,92
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8404-0",44952061.4509468,FALSE,93
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3993-0",44963792.5161133,FALSE,94
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1374-0",44966278.9101562,FALSE,95
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6338-0",44967860.4163247,FALSE,96
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2899-0",44978914.8234863,FALSE,97
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job123-0",44986483.427002,FALSE,98
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9561-0",44987920.2163086,FALSE,99
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4872-0",45000289.380127,FALSE,100
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2898-0",45002015.3208008,FALSE,101
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job781-0",45018056.2109375,FALSE,102
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4572-0",45037465.3968925,FALSE,103
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5-0",45040119.1096191,FALSE,104
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3500-0",45049510.5683594,FALSE,105
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5726-0",45059565.8654089,FALSE,106
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job671-0",45090337.4501953,FALSE,107
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3967-0",45095067.4814453,FALSE,108
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3914-0",45110563.9210205,FALSE,109
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3550-0",45137292.923288,FALSE,110
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8367-0",45166027.3295898,FALSE,111
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5722-0",45189963.2246399,FALSE,112
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9668-0",45190748.6025391,FALSE,113
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6755-0",45227059.9088073,FALSE,114
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7032-0",45260135.7102051,FALSE,115
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4104-0",45270611.6064453,FALSE,116
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3917-0",45272158.2443848,FALSE,117
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3461-0",45305387.3300781,FALSE,118
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6197-0",45307035.4536133,FALSE,119
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4322-0",45307866.5197754,FALSE,120
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job409-0",45331395.0294685,FALSE,121
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8645-0",45341922.104876,FALSE,122
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job436-0",45351601.9161644,FALSE,123
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9825-0",45360118.8296885,FALSE,124
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5439-0",45375171.0080566,FALSE,125
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job96-0",45376658.6687012,FALSE,126
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2790-0",45382080.1621094,FALSE,127
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3546-0",45395486.1464844,FALSE,128
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8956-0",45399617.0991211,FALSE,129
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3008-0",45402547.6552734,FALSE,130
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1311-0",45414358.4316406,FALSE,131
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job896-0",45423699.2718439,FALSE,132
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7540-0",45432686.3098149,FALSE,133
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9577-0",45440638.7575684,FALSE,134
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2063-0",45465652.3135986,FALSE,135
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7723-0",45481492.9555588,FALSE,136
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5288-0",45530783.46875,FALSE,137
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5292-0",45558621.1125488,FALSE,138
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5542-0",45560710.3479004,FALSE,139
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4494-0",45560778.366272,FALSE,140
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6420-0",45561477.5187988,FALSE,141
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1811-0",45569746.1699219,FALSE,142
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3272-0",45588348.576416,FALSE,143
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job195-0",45602171.105957,FALSE,144
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8804-0",45628655.4812012,FALSE,145
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1139-0",45648065.2086318,FALSE,146
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job487-0",45657384.6923828,FALSE,147
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2918-0",45666768.6933594,FALSE,148
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7907-0",45670438.8273926,FALSE,149
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8971-0",45707141.1044922,FALSE,150
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4766-0",45710259.7719727,FALSE,151
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6390-0",45712247.6312866,FALSE,152
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3814-0",45730503.9365234,FALSE,153
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6447-0",45745758.0196693,FALSE,154
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6545-0",45770230.4760742,FALSE,155
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9322-0",45773611.328146,FALSE,156
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1030-0",45791536.882345,FALSE,157
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7128-0",45868356.2773438,FALSE,158
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8198-0",45870568.0800781,FALSE,159
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job27-0",45879306.9537489,FALSE,160
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job533-0",45880060.0664062,FALSE,161
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6981-0",45880721.3540039,FALSE,162
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8739-0",45901723.097168,FALSE,163
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8416-0",45927763.7480469,FALSE,164
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4776-0",45929773.7712402,FALSE,165
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9210-0",45937350.10755,FALSE,166
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9954-0",45940501.7370605,FALSE,167
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3514-0",45948352.7763672,FALSE,168
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9338-0",45956813.777832,FALSE,169
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2260-0",45969619.411377,FALSE,170
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4772-0",45991494.5195312,FALSE,171
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2175-0",46009534.75,FALSE,172
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2647-0",46035307.8525391,FALSE,173
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5375-0",46049770.9086703,FALSE,174
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3162-0",46055164.2734451,FALSE,175
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2003-0",46071643.8112793,FALSE,176
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2065-0",46088678.4584961,FALSE,177
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2741-0",46094331.0415039,FALSE,178
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4688-0",46103789.3097302,FALSE,179
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job869-0",46109558.3503418,FALSE,180
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6259-0",46126336.1386719,FALSE,181
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7658-0",46141135.2961874,FALSE,182
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1978-0",46147139.9806044,FALSE,183
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1850-0",46168445.4016815,FALSE,184
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2934-0",46187005.8366992,FALSE,185
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5803-0",46192064.5449219,FALSE,186
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job17-0",46200363.618654,FALSE,187
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2177-0",46211388.5183105,FALSE,188
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2576-0",46228144.3925577,FALSE,189
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7324-0",46233013.0292969,FALSE,190
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3328-0",46234272.1914062,FALSE,191
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3859-0",46244163.8640293,FALSE,192
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7373-0",46248222.9249268,FALSE,193
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4302-0",46265274.465332,FALSE,194
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4068-0",46265993.2646484,FALSE,195
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5629-0",46268254.3606439,FALSE,196
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5080-0",46271296.78479,FALSE,197
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7599-0",46274027.4101257,FALSE,198
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1440-0",46279453.5974121,FALSE,199
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job340-0",46312914.7031405,FALSE,200
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1488-0",46313988.0507812,FALSE,201
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1907-0",46323680.4492188,FALSE,202
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4869-0",46325543.1291504,FALSE,203
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6653-0",46336089.9356884,FALSE,204
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4372-0",46338147.1967773,FALSE,205
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5745-0",46349278.1933594,FALSE,206
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7534-0",46358584.7714844,FALSE,207
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4342-0",46366668.8392791,FALSE,208
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9897-0",46369712.934082,FALSE,209
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7132-0",46385801.7138672,FALSE,210
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job634-0",46396545.0803976,FALSE,211
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7280-0",46430951.8527832,FALSE,212
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9982-0",46450578.5571289,FALSE,213
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2620-0",46454411.4863281,FALSE,214
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7183-0",46495515.4077148,FALSE,215
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3226-0",46591160.4594727,FALSE,216
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9044-0",46594426.7326953,FALSE,217
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4046-0",46674033.2451172,FALSE,218
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6113-0",46675342.8111213,FALSE,219
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5615-0",46694167.466935,FALSE,220
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6871-0",46700014.1699219,FALSE,221
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8041-0",46701714.1410639,FALSE,222
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9593-0",46708023.6468811,FALSE,223
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2312-0",46741101.0673828,FALSE,224
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8824-0",46742798.9838867,FALSE,225
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7591-0",46811641.3139758,FALSE,226
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7515-0",46912633.7114258,FALSE,227
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4211-0",46989207.7709227,FALSE,228
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job683-0",47008240.401875,FALSE,229
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3662-0",47333285.4812775,FALSE,230
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7462-0",47362068.9188901,FALSE,231
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job54-0",47956937.2534887,TRUE,232
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6343-0",48180999.3568913,FALSE,233
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job196-0",48403676.5507476,TRUE,234
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9199-0",48716493.3218403,TRUE,235
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9052-0",48738914.1816406,TRUE,236
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3016-0",54840308.5280762,TRUE,237
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7315-0",59251924.318696,TRUE,238
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1205-0",62260704.9476919,TRUE,239
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1107-0",63878399.8542434,TRUE,240
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job323-0",64594292.8304332,TRUE,241
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6617-0",65661265.4599074,TRUE,242
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4106-0",69992225.018034,TRUE,243
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1526-0",72157940.3093662,TRUE,244
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2871-0",75980869.2836075,TRUE,245
